CODE,FAMILLE,DESIGNATIONS,UNITE DE MESURE,BI,BS
2132 1111 111 1111,CONCEPTIONS ET ACQUISITION DE SYSTÈMES D’ORGANISATION- PROGICIELS,"APPLICATION WEB - MACRO BLOCS FONCTIONNELS (L) : •      DESIGN ATTRAYANT •      CONFORMITE AUX STANDARDS DU WEB (COMPATIBILITE, PORTABILITE, EVOLUTIF) •      MISE A JOUR RAPIDE DES DONNEES •      MISE EN PLACE DE L’HYPER TEXT TRANSFER PROTOCOLE SECURE (HTTPS) •      AFFICHAGE SUR LES APPAREILS (NOTEBOOK, TABLETTE, IPAD, SMARTPHONE) •      MENUS CACHES •      MULTI UTILISATEURS •      MULTI FONCTIONS •      IMAGES DE QUALITE ET PERSONNALISABLES •      BARRE DE DEFILEMENT •      SYSTEME DE FILTRE •      INFORMATIONS DE CONTACT •      ENREGISTREMENT FACILE ET PRATIQUE •      NOTIFICATIONS INTELLIGENTES •      INTERFACE UTILISATEUR (IU) INTUITIVE ET FACILE A UTILISER •      CHARGEMENT RAPIDE ET REACTIVES AUX ENTREES DE DONNEES •      FONCTIONS DE CRYPTAGE DES DONNEES ET D’AUTHENTIFICATION •      CONFORME A LA CHARTE GRAPHIQUE DU GOUVERNEMENT BENINOIS •      SGBD (MARIADB, MONGODB, MYSQL, POSTGRESQL OU EQUIVALENT)",U,21600000,36000000
2132 1111 111 1112,CONCEPTIONS ET ACQUISITION DE SYSTÈMES D’ORGANISATION- PROGICIELS,"APPLICATION MOBILE - MACRO BLOCS FONCTIONNELS (L) •      DESIGN ATTRAYANT •      CONFORMITE AUX STANDARDS DU WEB (COMPATIBILITE, PORTABILITE, EVOLUTIF) •      MISE A JOUR RAPIDE DES DONNEES •      AFFICHAGE SUR LES APPAREILS (NOTEBOOK, TABLETTE, IPAD, SMARTPHONE) •      MENUS CACHES •      MULTI UTILISATEURS •      MULTI FONCTIONS •      IMAGES DE QUALITE ET PERSONNALISABLES •      BARRE DE DEFILEMENT •      SYSTEME DE FILTRE •      INFORMATIONS DE CONTACT •      ANIMATIONS •      MISE EN PLACE DU BOUTON « RETOUR » •      ENREGISTREMENT FACILE ET PRATIQUE •      COMPATIBLE IOS ET ANDROID •      OPTIMISATION DU POSITIONNEMENT DANS LE STORE •      NOTIFICATIONS INTELLIGENTES •      INTERFACE UTILISATEUR (IU) INTUITIVE ET FACILE A UTILISER •      CHARGEMENT RAPIDE ET REACTIVE AUX ENTREES DE DONNEES •      FONCTIONS DE CRYPTAGE DES DONNEES ET D’AUTHENTIFICATION •      CONFORME A LA CHARTE GRAPHIQUE DU GOUVERNEMENT BENINOIS •      SGBD (MARIADB, MONGODB, MYSQL, POSTGRESQL)",,6000000,10000000
2132 1111 111 1113,CONCEPTIONS ET ACQUISITION DE SYSTÈMES D’ORGANISATION- PROGICIELS,"APPLICATION WEB - MACRO BLOCS FONCTIONNELS (M) : •      DESIGN ATTRAYANT •      CONFORMITE AUX STANDARDS DU WEB (COMPATIBILITE, PORTABILITE, EVOLUTIF) •      MISE A JOUR RAPIDE DES DONNEES •      MISE EN PLACE DE L’HYPER TEXT TRANSFER PROTOCOLE SECURE (HTTPS) •      AFFICHAGE SUR LES APPAREILS (NOTEBOOK, TABLETTE, IPAD, SMARTPHONE) •      MENUS CACHES •      IMAGES DE QUALITE ET PERSONNALISABLES •      BARRE DE DEFILEMENT •      INFORMATIONS DE CONTACT •      ENREGISTREMENT FACILE ET PRATIQUE •      INTERFACE UTILISATEUR (IU) INTUITIVE ET FACILE A UTILISER •      CHARGEMENT RAPIDE ET REACTIVES AUX ENTREES DE DONNEES •      FONCTIONS DE CRYPTAGE DES DONNEES ET D’AUTHENTIFICATION •      CONFORME A LA CHARTE GRAPHIQUE DU GOUVERNEMENT BENINOIS •      SGBD (MARIADB, MONGODB, MYSQL, POSTGRESQL OU EQUIVALENT)",U,10800000,18000000
2132 1111 111 1114,CONCEPTIONS ET ACQUISITION DE SYSTÈMES D’ORGANISATION- PROGICIELS,"APPLICATION MOBILE - MACRO BLOCS FONCTIONNELS (M) •      DESIGN ATTRAYANT •      CONFORMITE AUX STANDARDS DU WEB (COMPATIBILITE, PORTABILITE, EVOLUTIF) •      MISE A JOUR RAPIDE DES DONNEES •      AFFICHAGE SUR LES APPAREILS (NOTEBOOK, TABLETTE, IPAD, SMARTPHONE) •      MENUS CACHES •      IMAGES DE QUALITE ET PERSONNALISABLES •      BARRE DE DEFILEMENT •      INFORMATIONS DE CONTACT •      ANIMATIONS •      MISE EN PLACE DU BOUTON « RETOUR » •      ENREGISTREMENT FACILE ET PRATIQUE •      COMPATIBLE IOS ET ANDROID •      INTERFACE UTILISATEUR (IU) INTUITIVE ET FACILE A UTILISER •      CHARGEMENT RAPIDE ET REACTIVES AUX ENTREES DE DONNEES •      FONCTIONS DE CRYPTAGE DES DONNEES ET D’AUTHENTIFICATION •      CONFORME A LA CHARTE GRAPHIQUE DU GOUVERNEMENT BENINOIS •      SGBD (SQLITE, MARIADB , MONGODB, MYSQL, POSTGRESQL)",U,3000000,5000000
2132 1111 111 1115,CONCEPTIONS ET ACQUISITION DE SYSTÈMES D’ORGANISATION- PROGICIELS,"APPLICATION WEB - MACRO BLOCS FONCTIONNELS (XL) : •      DESIGN ATTRAYANT •      CONFORMITE AUX STANDARDS DU WEB (COMPATIBILITE, PORTABILITE, EVOLUTIF) •      MISE A JOUR RAPIDE DES DONNEES •      MISE EN PLACE DE L’HYPER TEXT TRANSFER PROTOCOLE SECURE (HTTPS) •      AFFICHAGE SUR LES APPAREILS (NOTEBOOK, TABLETTE, IPAD, SMARTPHONE) •      MENUS CACHES •      MULTI UTILISATEURS •      MULTI FONCTIONS •      IMAGES DE QUALITE ET PERSONNALISABLES •      BARRE DE DEFILEMENT •      INFORMATIONS DE CONTACT •      ENREGISTREMENT FACILE ET PRATIQUE •      NOTIFICATIONS INTELLIGENTES •      INTERFACE UTILISATEUR (IU) INTUITIVE ET FACILE A UTILISER •      CHARGEMENT RAPIDE ET REACTIVITE AUX ENTREES DE DONNEES •      FONCTIONS DE CRYPTAGE DES DONNEES ET D’AUTHENTIFICATION •      INTERACTION •      CONFORME A LA CHARTE GRAPHIQUE DU GOUVERNEMENT BENINOIS •      MOTEUR DE RECHERCHE SPECIALISE •      MESSAGERIE ELECTRONIQUE, •      METEO PERSONNALISEE, •      OUTILS DE CALCUL ET DE SIMULATION •      SYSTEME DE FILTRE •      SGBD (ORACLE, IBM DB2 ET MICROSOFT SQL SERVER OU EQUIVALENT)",U,33600000,56000000
2132 1111 111 1116,CONCEPTIONS ET ACQUISITION DE SYSTÈMES D’ORGANISATION- PROGICIELS,"APPLICATION MOBILE - MACRO BLOCS FONCTIONNELS (XL) •      DESIGN ATTRAYANT •      CONFORMITE AUX STANDARDS DU WEB (COMPATIBILITE, PORTABILITE, EVOLUTIF) •      MISE A JOUR RAPIDE DES DONNEES •      AFFICHAGE SUR LES APPAREILS (NOTEBOOK, TABLETTE, IPAD, SMARTPHONE) •      MENUS CACHES •      MULTI UTILISATEURS •      MULTI FONCTIONS •      IMAGES DE QUALITE ET PERSONNALISABLES •      BARRE DE DEFILEMENT •      INFORMATIONS DE CONTACT •      ANIMATIONS •      MISE EN PLACE DU BOUTON « RETOUR » •      ENREGISTREMENT FACILE ET PRATIQUE •      COMPATIBLE IOS ET ANDROID •      OPTIMISATION DU POSITIONNEMENT DANS LE STORE •      NOTIFICATIONS INTELLIGENTES •      INTERFACE UTILISATEUR (IU) INTUITIVE ET FACILE A UTILISER •      CHARGEMENT RAPIDE ET REACTIVITE AUX ENTREES DE DONNEES •      FONCTIONS DE CRYPTAGE DES DONNEES ET D’AUTHENTIFICATION •      INTERACTION •      CONFORME A LA CHARTE GRAPHIQUE DU GOUVERNEMENT BENINOIS •      MOTEUR DE RECHERCHE SPECIALISE •      MESSAGERIE ELECTRONIQUE, •      METEO PERSONNALISEE, •      OUTILS DE CALCUL ET DE SIMULATION •      SYSTEME DE FILTRE •      SGBD (ORACLE, IBM DB2 ET MICROSOFT SQL SERVER)",U,9000000,15000000
2132 1111 113 1111,CONCEPTIONS ET ACQUISITION DE SYSTÈMES D’ORGANISATION- PROGICIELS,"LICENCE NAGIOS XI  (UNIQUE), EQUIPEMENTS ET OUTILS DE SURVEILLANCE",U,1854000,3090000
2132 1111 113 1112,CONCEPTIONS ET ACQUISITION DE SYSTÈMES D’ORGANISATION- PROGICIELS,LICENCES AUTHENTIQUES MICROSOFT OFFICE 2019/2021 PROPLUS (IMMATERIELLES),U,51000,85000
2132 1111 113 1113,CONCEPTIONS ET ACQUISITION DE SYSTÈMES D’ORGANISATION- PROGICIELS,LICENCES WINDOWS 10 PRO / WINDOWS 11 PRO X64 BITS AUTHENTIQUE (IMMATERIELLE),U,51000,85000
2133 1111 111 1111,CONCEPTIONS ET ACQUISITION DE SYSTÈMES D’ORGANISATION- PROGICIELS,"SITE WEB & PORTAIL - MACRO BLOCS FONCTIONNELS (L) •      DESIGN ATTRAYANT •      CONFORMITE AUX STANDARDS DU WEB (LE SITE DOIT RESPECTER LES NORMES DE BASE QU’IMPOSE LE WEB. CES NORMES INCLUENT, ENTRE AUTRES, LA COMPATIBILITE AVEC LES PRINCIPAUX NAVIGATEURS (CHROME, SAFARI, INTERNET EXPLORER, FIREFOX, ETC.). LA PORTABILITE, C’EST-A-DIRE POUVOIR Y ACCEDER SUR DIFFERENTS APPAREILS (MOBILE- FRIENDLY), PEU IMPORTE LE SYSTEME D’EXPLOITATION UTILISE (WINDOWS, IOS, LINUX, ETC.), LE CARACTERE EVOLUTIF, C’EST-A-DIRE LA POSSIBILITE DE LE GARNIR SANS DIFFICULTE •      FACILITE D’Y METTRE DU CONTENU •      SYSTEME DE FILTRE •      MISE A JOUR RAPIDE •      NAVIGATION FACILE ET FLUIDE •      BONNE VISIBILITE (MOTEUR DE RECHERCHE GOOGLE) •      AFFICHAGE SUR CES APPAREILS (NOTEBOOK, TABLETTE, IPAD, SMARTPHONE) •      MISE EN PLACE DE L’HYPER TEXT TRANSFER PROTOCOLE SECURE (HTTPS) •      CLAVARDAGE EN DIRECT (CHAT ITERATIF) •      OPTIMISATION DES MOTEURS DE RECHERCHE (SEARCH ENGINE OPTIMIZATION) •      DONNEES GEOGRAPHIQUES (INFORMATIONS DE LOCALISATION DANS LE PLAN DE REFERENCEMENT) •      OFFRE D’ABONNEMENT •      RESEAUX SOCIAUX •      CONFORME A LA CHARTE GRAPHIQUE DU GOUVERNEMENT BENINOIS •      SGBD (MARIADB, MONGODB, MYSQL, POSTGRESQL OU EQUIVALENT) DESIGNATIONS",U,5400000,9000000
